Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,YahooTicker,Symbol,Name,Sector
2015-01-02,6.824999809265137,6.929999828338623,6.735000133514404,6.864999771118164,3.7805886268615723,4051510,0.0,0.0,MB.MI,MB,Mediobanca,Banking
2015-01-05,6.809999942779541,6.940000057220459,6.565000057220459,6.565000057220459,3.6153769493103027,5771754,0.0,0.0,MB.MI,MB,Mediobanca,Banking
2015-01-06,6.579999923706055,6.630000114440918,6.454999923706055,6.474999904632568,3.5658137798309326,4412961,0.0,0.0,MB.MI,MB,Mediobanca,Banking
2015-01-07,6.494999885559082,6.605000019073486,6.40500020980835,6.474999904632568,3.5658137798309326,5144771,0.0,0.0,MB.MI,MB,Mediobanca,Banking
2015-01-08,6.585000038146973,6.824999809265137,6.5,6.789999961853027,3.7392866611480713,4740923,0.0,0.0,MB.MI,MB,Mediobanca,Banking
2015-01-09,6.735000133514404,6.764999866485596,6.400000095367432,6.465000152587891,3.560307264328003,6686228,0.0,0.0,MB.MI,MB,Mediobanca,Banking
2015-01-12,6.514999866485596,6.550000190734863,6.385000228881836,6.539999961853027,3.601609706878662,3910604,0.0,0.0,MB.MI,MB,Mediobanca,Banking
2015-01-13,6.53000020980835,6.690000057220459,6.489999771118164,6.639999866485596,3.656680107116699,3548964,0.0,0.0,MB.MI,MB,Mediobanca,Banking
2015-01-14,6.539999961853027,6.735000133514404,6.53000020980835,6.59499979019165,3.6318986415863037,4558844,0.0,0.0,MB.MI,MB,Mediobanca,Banking
2015-01-15,6.659999847412109,6.739999771118164,6.380000114440918,6.724999904632568,3.7034900188446045,7701509,0.0,0.0,MB.MI,MB,Mediobanca,Banking
2015-01-16,6.664999961853027,6.835000038146973,6.65500020980835,6.824999809265137,3.7585606575012207,4331232,0.0,0.0,MB.MI,MB,Mediobanca,Banking
2015-01-19,6.820000171661377,7.179999828338623,6.775000095367432,7.135000228881836,3.9292798042297363,8011347,0.0,0.0,MB.MI,MB,Mediobanca,Banking
2015-01-20,7.144999980926514,7.21999979019165,7.130000114440918,7.130000114440918,3.926525592803955,4141531,0.0,0.0,MB.MI,MB,Mediobanca,Banking
2015-01-21,7.179999828338623,7.230000019073486,7.005000114440918,7.230000019073486,3.981595516204834,6039784,0.0,0.0,MB.MI,MB,Mediobanca,Banking
2015-01-22,7.21999979019165,7.460000038146973,7.175000190734863,7.360000133514404,4.053187370300293,7138722,0.0,0.0,MB.MI,MB,Mediobanca,Banking
2015-01-23,7.409999847412109,7.454999923706055,7.260000228881836,7.340000152587891,4.042174339294434,5671667,0.0,0.0,MB.MI,MB,Mediobanca,Banking
2015-01-26,7.224999904632568,7.570000171661377,7.204999923706055,7.565000057220459,4.166082382202148,6760095,0.0,0.0,MB.MI,MB,Mediobanca,Banking
2015-01-27,7.570000171661377,7.744999885559082,7.5,7.71999979019165,4.25144100189209,9082560,0.0,0.0,MB.MI,MB,Mediobanca,Banking
2015-01-28,7.769999980926514,7.795000076293945,7.510000228881836,7.550000190734863,4.157822132110596,6050946,0.0,0.0,MB.MI,MB,Mediobanca,Banking
2015-01-29,7.635000228881836,7.755000114440918,7.534999847412109,7.71999979019165,4.25144100189209,6854177,0.0,0.0,MB.MI,MB,Mediobanca,Banking
2015-01-30,7.769999980926514,7.789999961853027,7.635000228881836,7.690000057220459,4.234919548034668,3759107,0.0,0.0,MB.MI,MB,Mediobanca,Banking
2015-02-02,7.735000133514404,7.739999771118164,7.519999980926514,7.704999923706055,4.243179798126221,3327238,0.0,0.0,MB.MI,MB,Mediobanca,Banking
2015-02-03,7.704999923706055,7.880000114440918,7.684999942779541,7.849999904632568,4.323032855987549,4684474,0.0,0.0,MB.MI,MB,Mediobanca,Banking
2015-02-04,7.815000057220459,7.980000019073486,7.715000152587891,7.855000019073486,4.325786590576172,4819641,0.0,0.0,MB.MI,MB,Mediobanca,Banking
2015-02-05,7.795000076293945,7.835000038146973,7.635000228881836,7.675000190734863,4.226660251617432,4673194,0.0,0.0,MB.MI,MB,Mediobanca,Banking
2015-02-06,7.639999866485596,7.724999904632568,7.605000019073486,7.675000190734863,4.226660251617432,2667479,0.0,0.0,MB.MI,MB,Mediobanca,Banking
